score,comment,timestamp
5,好吃,2025/07/22 00:00:00
5,"【五星好评】这家天天煲仔饭真的太可以了！?? 已经连着吃了一周，完全吃不腻！

米饭粒粒分明，锅巴香香脆脆的，火候把控得刚刚好！我点的是腊味煲仔，腊肠和腊肉分量很足，咸香入味，搭配青菜和酱汁一拌开，真的绝了～吃到底都不觉得油腻！

出餐速度也很快，外卖送到的时候还是热乎乎的，包装很严实，一点都没有洒。性价比超高，吃完超级满足！已经成为我的日常食堂了，强烈推荐给喜欢煲仔饭的朋友！",2025/09/17 00:00:00
5,味道很好 价格实惠 锅巴比较脆真好吃 下次还会点,2025/09/26 00:00:00
5,#广式腊肠+滑鸡+时蔬#好吃,2025/07/22 00:00:00
5,好吃,2025/07/22 00:00:00
5,分量够多可以可以,2025/09/25 00:00:00
1,超级难吃，冷的，没味道，改备注带锅巴。结果也没有，不焦也不香。,2025/10/24 00:00:00
1,太难吃了,2025/09/08 00:00:00
4,"一般般
",2025/07/20 00:00:00
5,每天不知道吃什么的时候，吃他家就对了！料满的溢出来，米饭特别香，比润园四季的外卖煲仔饭好吃多了！！如果实体店，老板买的肉全是新鲜的，这点让我觉得很安全，哪怕是孕妇也能放心吃??,2025/07/19 00:00:00
5,服务好，送餐快,2025/07/08 00:00:00
1,口味不行,2025/07/07 00:00:00
4,好吃，但是下面的米饭太硬了,2025/06/12 00:00:00
5,好吃，有满足感,2025/06/10 00:00:00
5,好吃，香口，窝巴脆，??????,2025/06/10 00:00:00
3,"味道不错，就是在食品放地上不敢捡起来吃
",2025/06/07 00:00:00
5,好评 菜多,2025/05/30 00:00:00
1,这真的是排骨吗？？？？？这是哪里来的什么肉？？？一口不敢吃 被恶心到了 再也不点小作坊 浪费钱,2025/05/09 00:00:00
5,好吃,2025/04/30 00:00:00
5,打开外卖盒我很惊讶，没想到这么多，而且还分盒包装，吃时发现味道好极了，我还会再买！,2025/04/30 00:00:00
5,味道不错，份量很足，已经是多次购买了,2025/04/17 00:00:00
5,很好有锅巴是我喜欢的，以后会长点,2025/04/14 00:00:00
5,非常满意,2025/04/13 00:00:00
5,非常满意,2025/04/13 00:00:00
5,第二次吃了，味道很好，酱汁一绝,2025/04/12 00:00:00
5,#豆豉鲮鱼+广式腊肠+时蔬+煎蛋#,2025/04/12 00:00:00
1,"#川香麻辣肠+肉末茄子+煎蛋+时蔬#

上班一天很辛苦了，点个外卖还要吃苦吗？真的超级无敌难吃，老板你吃过你们家的东西吗？",2025/04/08 00:00:00
3,份量倒是挺多，但是这个排骨很咸，肉质很柴。确实不好吃。,2025/04/07 00:00:00
1,感觉味道不好,2025/04/04 00:00:00
5,给的肉太足了，都吃不完??,2025/04/04 00:00:00
5,满意,2025/04/02 00:00:00
5,"非常好吃，料很多很划算
",2025/03/22 00:00:00
1,做老板的服务态度像割韭菜一样,2025/06/23 00:00:00
5,我做工地的，都反应好吃，吃了好多天了，量足、味美,2025/03/17 00:00:00
4,可以,2025/03/15 00:00:00
5,超赞,2025/03/14 00:00:00
5,味道还可以,2025/03/10 00:00:00
5,不错??,2025/03/05 00:00:00
5,#腊肠+五花腊肉+煎蛋+时蔬#,2025/03/02 00:00:00
5,好好吃，终于遇到一家宝藏饭店了，收藏以后天天点，希望不要让我失望！,2025/02/28 00:00:00
5,#肉末茄子煲仔饭+蔬菜#好吃，先收藏再说,2025/02/27 00:00:00
5,#腊肠+五花腊肉+煎蛋+时蔬#,2025/02/24 00:00:00
3,真的很一般,2025/02/24 00:00:00
1,欺骗消费者  偷工减料   一样的价格对比以前少料   不会再点你家   备注也不懂得回复,2025/02/21 00:00:00
5,#腊肠+五花腊肉+煎蛋+时蔬#,2025/02/20 00:00:00
5,包装保温效果非常好，吃的时候还烫嘴；味道肯定没得说，已经反复点过很多次了,2025/01/15 00:00:00
5,挺好的。,2025/01/07 00:00:00
3,"酸菜是白菜，普通的白菜，没有酸味
味道一般，挺淡的",2025/01/07 00:00:00
5,非常好吃！强烈安利！,2025/01/06 00:00:00
4,不错，挺好的,2024/12/19 00:00:00
2,#豆豉鲮鱼+滑鸡煲仔饭+蔬菜#特意选了这家评分挺高的试一下，一打开，咸鸭蛋居然是零食包装好的那种，而不是自己做的腌制好的，买了这么多次煲仔饭第一次见，饭也不好吃，鸡肉很一般，感觉像预制菜一样，唯独把豆豉鲮鱼吃完了,2024/12/17 00:00:00
5,#排骨+梅菜扣肉+酸菜#肉质软糯香甜，入口即化，味道非常好吃,2024/12/13 00:00:00
5,物美价廉！值得回购！,2024/12/12 00:00:00
2,好咸，排骨都是骨头,2024/12/08 00:00:00
5,#排骨+肉末茄子煲仔饭+蔬菜#味道非常满意,2024/12/05 00:00:00
1,#广式腊肠+滑鸡+酸菜#nanchi,2024/11/28 00:00:00
5,味道不错 分量很足 值得推荐的一家煲仔饭,2024/11/19 00:00:00
1,肉腥腥的,2024/11/18 00:00:00
5,好吃??,2024/11/17 00:00:00
5,不错,2024/11/16 00:00:00
1,这饭是隔夜的吗,2024/11/16 00:00:00
5,好吃，管饱#广式腊肠+滑鸡+酸菜#,2024/11/15 00:00:00
3,豆豉鲮鱼还可以，这鸡肉不咋地，,2024/11/14 00:00:00
4,好吃， 饭也香！ ,2024/11/13 00:00:00
4,饭做得不错，但肉和鱼太咸。我们平常吃得很清淡，建议菜品咸度放少一半就完美。,2025/06/19 00:00:00
5,味道不错,2025/03/28 00:00:00
4,饭好香。就是菜有点咸，建议有让顾客选菜品淡一点的就好。,2025/06/19 00:00:00
4,鱼，有点咸,2025/08/23 00:00:00
